<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,10,20170103,10:00,173.4100000,174.8000000,173.0000000,174.2600000,1203490
SBER,10,20170103,10:10,174.2700000,175.2900000,174.0100000,174.9200000,1311170
SBER,10,20170103,10:20,174.8800000,175.1700000,174.3600000,174.7300000,775610
SBER,10,20170103,10:30,174.7000000,175.4600000,174.7000000,175.2200000,984720
SBER,10,20170103,10:40,175.2200000,175.5600000,175.0500000,175.5000000,825040
SBER,10,20170103,10:50,175.4700000,175.7000000,175.3900000,175.5500000,746000
SBER,10,20170103,11:00,175.5600000,175.9000000,175.2000000,175.4800000,650270
SBER,10,20170103,11:10,175.4300000,175.4300000,174.8500000,175.0000000,612580
SBER,10,20170103,11:20,175.0200000,175.7500000,175.0200000,175.4200000,530360
SBER,10,20170103,11:30,175.4400000,175.5400000,174.8700000,175.2900000,1082500
SBER,10,20170103,11:40,175.2900000,175.5400000,175.0000000,175.3300000,357580
SBER,10,20170103,11:50,175.4300000,175.5800000,175.2000000,175.4100000,714890
SBER,10,20170103,12:00,175.3600000,175.5600000,175.2500000,175.4700000,398960
SBER,10,20170103,12:10,175.4700000,175.9500000,175.3800000,175.7500000,803840
SBER,10,20170103,12:20,175.8000000,178.7600000,175.8000000,178.3000000,3751360
SBER,10,20170103,12:30,178.3000000,179.2000000,177.5200000,178.8300000,5015770
SBER,10,20170103,12:40,178.8500000,178.9600000,177.8500000,178.1100000,2118650
SBER,10,20170103,12:50,178.1100000,178.7100000,178.0000000,178.1600000,1202170
SBER,10,20170103,13:00,178.1400000,178.5700000,178.1400000,178.4100000,883590
SBER,10,20170103,13:10,178.3400000,178.4300000,177.8200000,177.9400000,1576080
SBER,10,20170103,13:20,177.9700000,178.2000000,177.8000000,177.8800000,932540
SBER,10,20170103,13:30,177.8700000,178.4500000,177.8000000,178.4500000,1008530
SBER,10,20170103,13:40,178.4400000,178.7000000,178.3500000,178.6500000,1108900
SBER,10,20170103,13:50,178.6500000,178.7000000,178.3500000,178.6900000,475500
SBER,10,20170103,14:00,178.6900000,178.9400000,178.6100000,178.9200000,606230
SBER,10,20170103,14:10,178.9200000,179.5800000,178.8400000,178.9900000,2074910
SBER,10,20170103,14:20,178.9900000,178.9900000,178.5500000,178.6800000,360640
SBER,10,20170103,14:30,178.7000000,179.1000000,178.5500000,178.8700000,377170
SBER,10,20170103,14:40,178.8600000,179.0400000,178.3500000,178.3700000,457470
SBER,10,20170103,14:50,178.3800000,178.6300000,178.3500000,178.5900000,419890
SBER,10,20170103,15:00,178.6000000,179.1000000,178.5200000,178.7000000,382450
SBER,10,20170103,15:10,178.7400000,178.8300000,178.6200000,178.6500000,59530
SBER,10,20170103,15:20,178.7000000,179.1300000,178.6200000,179.0000000,961950
SBER,10,20170103,15:30,179.0800000,179.4800000,178.9400000,179.4000000,943850
SBER,10,20170103,15:40,179.4000000,179.5800000,179.0000000,179.1100000,579310
SBER,10,20170103,15:50,179.0700000,179.2500000,179.0000000,179.1900000,344900
SBER,10,20170103,16:00,179.1700000,179.3200000,179.0000000,179.0400000,479260
SBER,10,20170103,16:10,179.0400000,179.2700000,178.9000000,179.2000000,323230
SBER,10,20170103,16:20,179.1800000,179.3500000,178.9100000,179.0500000,399710
SBER,10,20170103,16:30,179.1000000,179.2500000,178.9500000,179.1400000,236570
SBER,10,20170103,16:40,179.2000000,179.3000000,179.0900000,179.1100000,135010
SBER,10,20170103,16:50,179.2000000,179.3000000,179.0200000,179.2000000,270480
SBER,10,20170103,17:00,179.2200000,179.4500000,179.0500000,179.0800000,698420
SBER,10,20170103,17:10,179.0800000,179.3600000,179.0700000,179.3000000,258810
SBER,10,20170103,17:20,179.3400000,179.9200000,179.3100000,179.8600000,1558500
SBER,10,20170103,17:30,179.8600000,180.7500000,179.5700000,180.5100000,2396050
SBER,10,20170103,17:40,180.3900000,181.1500000,180.3800000,180.9900000,2353590
SBER,10,20170103,17:50,180.9500000,181.5000000,180.8000000,181.3500000,1749590
SBER,10,20170103,18:00,181.2800000,181.6800000,181.0300000,181.0300000,1204540
SBER,10,20170103,18:10,181.0900000,181.1300000,180.3200000,180.4500000,1735400
SBER,10,20170103,18:20,180.4500000,180.9000000,180.2100000,180.5400000,1482390
SBER,10,20170103,18:30,180.5200000,180.8000000,180.3000000,180.4000000,1367180
